experiment,epoch,train_loss,val_loss,train_acc,val_acc
Exp1,1,0.06131538860223911,0.06418350700111616,0.982037037037037,0.981904761904762
Exp1,2,0.04587087842049422,0.0529674840541113,0.9863492063492063,0.9826190476190476
Exp1,3,0.037752099760152674,0.0445881147505272,0.9879629629629629,0.9866666666666667
Exp1,4,0.024183125966598117,0.037242628538182804,0.9927777777777778,0.9878571428571429
Exp1,5,0.017681285837891872,0.0322323572351819,0.9949206349206349,0.9892857142857143
Exp1,6,0.01525020168571876,0.03215838206133672,0.9956878306878307,0.9892857142857143
Exp1,7,0.01379371425067937,0.03386240184307098,0.9953968253968254,0.9878571428571429
Exp1,8,0.012266754675558005,0.03212528438440391,0.9965608465608465,0.9883333333333333
Exp1,9,0.012690134362253563,0.030917350232955956,0.9959259259259259,0.9914285714285714
Exp1,10,0.008206066211695394,0.027396252137564477,0.9976190476190476,0.9909523809523809
Exp1,11,0.0062490760194009575,0.029438679512767563,0.9986243386243386,0.9904761904761905
Exp1,12,0.004258732627880163,0.026374847635272005,0.999021164021164,0.9914285714285714
Exp2,1,0.06625784181097828,0.07134584041578429,0.9804497354497355,0.9792857142857143
Exp2,2,0.02821122377795517,0.03996908496178332,0.9911375661375661,0.9878571428571429
Exp2,3,0.02055462927572311,0.03613305469176599,0.9934920634920635,0.9895238095238095
Exp2,4,0.01768462336804501,0.032902753892399016,0.993968253968254,0.99
Exp2,5,0.009290077478166611,0.026277932006688345,0.9970634920634921,0.9926190476190476
Exp2,6,0.00723021507539131,0.026006820519410428,0.9979629629629629,0.9926190476190476
Exp2,7,0.008684124089580364,0.029476723582262086,0.9969312169312169,0.99
Exp2,8,0.010836038686650454,0.0446073874547368,0.995899470899471,0.986904761904762
Exp2,9,0.005670981758210078,0.032186100064289,0.9982275132275132,0.9909523809523809
Exp2,10,0.00404547258851823,0.024936484064729442,0.9986507936507937,0.9928571428571429
Exp2,11,0.0038287921560307345,0.0308948614820838,0.9987830687830688,0.9916666666666667
Exp2,12,0.003518534904424712,0.03353956471818189,0.9988888888888889,0.9911904761904762
Exp3,1,0.06418444681971792,0.06378104958505858,0.980925925925926,0.9830952380952381
Exp3,2,0.03975039543850081,0.0504753806690375,0.9884656084656085,0.986904761904762
Exp3,3,0.025435478467711065,0.038054227546921796,0.9927248677248677,0.99
Exp3,4,0.023462192626699567,0.040662673917554674,0.9921428571428571,0.9885714285714285
Exp3,5,0.015291968004571067,0.03393457915367825,0.9953703703703703,0.9895238095238095
Exp3,6,0.012200360184229871,0.030997510192294915,0.9961375661375661,0.9892857142857143
Exp3,7,0.00986520507584804,0.030358799208132992,0.9969312169312169,0.9907142857142858
Exp3,8,0.008414277171804792,0.0308329219486387,0.9973809523809524,0.9914285714285714
Exp3,9,0.00852425248524736,0.032988349750992796,0.9972486772486773,0.99
Exp3,10,0.005292784738004523,0.037504839987627096,0.9983068783068783,0.9907142857142858
Exp4,1,0.04981314160442226,0.05076905115729287,0.9847619047619047,0.9852380952380952
Exp4,2,0.03187382061566625,0.032098630295977704,0.9900793650793651,0.9890476190476191
Exp4,3,0.03157381181757917,0.0387777675475393,0.9894708994708995,0.9861904761904762
Exp4,4,0.020860724471233508,0.026010754379842963,0.9938359788359789,0.9933333333333333
Exp4,5,0.02282177812996365,0.027639153408152716,0.9926455026455027,0.9911904761904762
Exp4,6,0.017984842628082903,0.023110197394021918,0.9941534391534391,0.9926190476190476
Exp4,7,0.015525504389294871,0.0253466443096598,0.9947883597883598,0.9911904761904762
Exp4,8,0.011407031266304551,0.01744483074528121,0.9962962962962963,0.9938095238095238
Exp4,9,0.011935589898121421,0.019532594142836476,0.9964285714285714,0.9933333333333333
Exp4,10,0.012193763092278488,0.021510555217308658,0.9963227513227513,0.9926190476190476
Exp4,11,0.011079328974226007,0.024062729080518087,0.9967460317460317,0.9928571428571429
